,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
118,2024-10-20T04:37:13.587Z,-21.1381,-179.2156,609.993,4.3,mb,54.0,49.0,3.745,0.75,us,us6000nzu1,2024-10-20T05:14:27.040Z,Fiji region,earthquake,10.76,8.559,0.075,50.0,reviewed,us,us
119,2024-10-20T03:49:16.536Z,-19.7258,-69.181,110.899,4.1,mb,19.0,108.0,0.058,0.81,us,us6000nztw,2024-10-20T04:30:20.040Z,"52 km SSE of Camiña, Chile",earthquake,4.92,4.411,0.213,7.0,reviewed,us,us
123,2024-10-20T01:47:48.581Z,-20.1999,178.8731,552.822,4.3,mb,38.0,72.0,2.562,1.07,us,us6000nztg,2024-10-20T02:38:31.040Z,"233 km SSE of Suva, Fiji",earthquake,11.61,8.972,0.081,44.0,reviewed,us,us
125,2024-10-19T23:37:48.432Z,42.8016,145.1759,113.566,4.5,mb,48.0,181.0,1.689,0.9,us,us6000nzt2,2024-10-19T23:59:28.040Z,"37 km SE of Akkeshi, Japan",earthquake,11.8,8.744,0.081,45.0,reviewed,us,us
127,2024-10-19T22:26:15.495Z,-26.3568,-68.8468,107.14,4.6,mb,71.0,50.0,1.587,0.84,us,us6000nzsk,2024-10-19T22:48:26.040Z,"119 km E of Diego de Almagro, Chile",earthquake,7.52,7.181,0.056,93.0,reviewed,us,us
131,2024-10-19T18:07:12.712Z,0.5542,119.8795,51.665,5.1,mww,96.0,54.0,1.058,0.98,us,us6000nzru,2024-10-19T18:24:43.040Z,"161 km N of Palu, Indonesia",earthquake,6.56,6.245,0.086,13.0,reviewed,us,us
132,2024-10-19T17:29:13.026Z,-6.0105,146.7063,42.929,4.7,mb,44.0,60.0,3.402,0.94,us,us6000nzrq,2024-10-19T20:58:24.500Z,"85 km NNW of Lae, Papua New Guinea",earthquake,6.99,6.291,0.08,48.0,reviewed,us,us
133,2024-10-19T15:36:20.602Z,5.2966,94.2601,57.732,4.7,mb,39.0,169.0,2.677,0.81,us,us6000nzrf,2024-10-19T16:12:41.040Z,"121 km WSW of Banda Aceh, Indonesia",earthquake,10.2,8.235,0.097,32.0,reviewed,us,us
134,2024-10-19T15:29:24.126Z,-23.9434,-67.4746,284.274,4.5,mb,28.0,91.0,2.288,0.44,us,us6000nzrd,2024-10-19T16:05:41.040Z,"121 km WNW of San Antonio de los Cobres, Argentina",earthquake,12.45,12.772,0.156,12.0,reviewed,us,us
136,2024-10-19T13:35:36.314Z,38.7151,72.4338,63.743,4.2,mb,20.0,205.0,2.488,0.73,us,us6000nzqu,2024-10-19T15:09:17.040Z,"95 km SSE of Daroot-Korgon, Kyrgyzstan",earthquake,8.14,15.992,0.264,4.0,reviewed,us,us
